Batman Begins,"28,80,18"
Some Kind of Beautiful,35
The Second Mother,18
The Second Best Exotic Marigold Hotel,"18,35"
Every Thing Will Be Fine,18
LEGO DC Comics Super Heroes: Justice League vs. Bizarro League,"28,12,16,10751"
Danny Collins,"35,18,10402"
Project Almanac,"878,53"
Lost River,"14,53,18"
The Vatican Tapes,"53,27"
Cop Car,53
A Perfect Man,"18,53"
Holding the Man,18
Strange Magic,"10402,16,10751,14"
Purpose of Reunion,"10749,18"
Lolo,35
6 Years,"10749,18"
Ratter,"18,27,53"
Good Kill,"28,18,53"
Brother Bajrangi,"28,35,18"
Truth,18
Dragon Blade,"28,18,12"
Our Little Sister,"18,35"
Bravetown,"18,10402"
4th Man Out,"35,18"
The Marine 4: Moving Target,"28,53"
A Girl Like Her,18
Andron,"28,878"
Mistress America,35
The Student and Mister Henri,"18,35"
Bound to Vengeance,"53,27"
New Folder 2,
Parallels,878
Howl,27
Spanish Affair 2,"35,10749"
Don't Be Bad,"80,18"
Sinister 2,27
Serial Killer 1,"18,80"
Manglehorn,18
Invisible Sister,"14,12,35"
The Overnight,"9648,35"
Into the Grizzly Maze,"28,27,53"
Blind Date,"35,10749,18"
Contracted: Phase II,"18,27,53"
The D Train,"18,35"
Woodlawn,18
Tangerine,"35,18"
Robot Overlords,"12,878,28"
Son of Saul,"10752,18,53"
Demonic,"53,27"
World of Tomorrow,"16,35,878,18"
Mythica: The Necromancer,"14,28,12"
Tumbledown,"10402,10749,35,18"
The Lion Guard: Return of the Roar,"10770,16,10751"
The End of the Tour,18
Everyday I Love You,"18,10749"
A Christmas Horror Story,"27,14"
Dead Rising: Watchtower,"27,878,28"
April and the Extraordinary World,"53,12,16,35,14,878"
Extinction,"18,27,878"
Louis C.K.: Live at The Comedy Store,"35,99"
Attack on Titan II: End of the World,"27,878,28,14,18"
Sweet Bean,18
Daddy or Mommy,35
The Benefactor,18
Superfast!,"28,35"
The Gallows,"27,53"
Experimenter,"18,36"
Where to Invade Next,99
Home Sweet Hell,"18,35"
The Atticus Institute,27
Tales of Halloween,27
Cleveland Abduction,"18,80,10770"
My King,"18,10749"
The Final Girls,"35,27"
Life,18
Z for Zachariah,"18,878,53"
A Bigger Splash,"80,18,9648,53"
Full Out,"36,18,10751"
While We're Young,"35,18,9648"
The Diabolical,"27,878,53"
Curve,"27,53"
Baskın,"14,27,878"
Madame Bovary,18
Rams,18
I Kissed a Girl,35
Area 51,"27,53,878"
Steve Jobs: The Man in the Machine,99
Torno indietro e cambio vita,35
Tomorrow,99
It's Now or Never,35
7 Days in Hell,"10770,35"
A Very Murray Christmas,"35,10402"
Life on the Line,"28,18"
Hell House LLC,"27,9648,53"
The Sense of Wonder,"35,10749,18"
He Never Died,"53,27,18"
The Measure of a Man,18
Marguerite,18
The Man with the Iron Fists 2,28
Wolf Warrior,"28,10752"
The Hallow,"14,27"
Dheepan,"80,18"
Momentum,"28,53"
Results,35
Most Likely to Die,27
Io che amo solo te,"10749,35"
Loucas pra Casar,35
The Spirit of Christmas,"10770,10749,18"
Winter on Fire: Ukraine's Fight for Freedom,99
Cobain: Montage of Heck,"99,10402"
Bis,35
Final Girl,"28,18,53"
God Willing,35
San Andreas Quake,"28,878,10770"
Doctor Who: The Husbands of River Song,"18,878,35,10770"
Turbo Kid,"28,12,35,878"
The Lazarus Effect,"53,27"
The Beauty Inside,"14,10749"
Hell & Back,"14,35,16"
The Brand New Testament,"18,35,14"
"10,000 Saints","35,18,10402"
Moonwalkers,35
Remember,"18,53"
Power/Rangers,"28,12,878"
Cartel Land,"18,99"
Young Mother Real 3,10749
Voyage en Chine,18
Louder Than Bombs,18
Spare Parts,"28,18,10751"
Alaska,18
Jem and the Holograms,"18,14,10402"
Mother's Friend,"18,10749"
Manifesto,18
Smosh: The Movie,"35,28,12"
X-Rated: The Greatest Adult Movies of All Time,99
American Hero,"28,35,878"
Being Charlie,"18,10749"
Chi-Raq,"10402,18,80,35"
The Great Gilly Hopkins,"35,18,10751"
Off Course,"10749,35"
Why I Did (Not) Eat My Father,"12,35,16"
The Survivalist,"18,878,53"
Bad Hair Day,"10770,12,35"
Batman Unlimited: Animal Instincts,"28,16,10751"
Mojin: The Lost Legend,"28,12,14"
Grandma,"35,18"
Disorder,"18,53"
Suck Me Shakespeer 2,35
Taxi,"99,35"
Staten Island Summer,35
Family For Rent,"35,10749"
"Connasse, Princesse des cœurs",35
The Ones Below,53
The Nightmare,"27,99"
#Horror,"18,9648,27,53"
Truman,"35,18"
Exeter,"53,27"
Back in Time,99
Jenny's Wedding,"35,18"
Standing Tall,18
Those People,"18,10749"
You Can't Save Yourself Alone,18
Buddy's Mom,"18,10749"
Advantageous,"878,18"
L'emprise,18
An Italian Name,35
Digging for Fire,"18,35"
Max,"12,18,10751"
Made in France,"18,80,53"
Song One,18
ma ma,18
After the Ball,35
Boomerang,18
The Legendary Giulia and Other Miracles,35
Bajirao Mastani,"10752,36,10749"
Confinement Time,"10749,80,53"
"What Happened, Miss Simone?","99,10402"
The Bad Education Movie,35
Born to Be Blue,"18,10402"
Deep Web,99
Mountains May Depart,"10749,18"
To Write Love on Her Arms,"18,10402"
Tag,"27,53"
Psycho-Pass: The Movie,"878,16,28"
Hungry Hearts,"53,18"
Amnesiac,"53,9648,18,27"
Dilwale,"80,28,35"
Monkey King: Hero Is Back,"14,16,35"
Regular Show: The Movie,"16,35,878,10770"
4Got10,"37,28,53"
Cyberbully,"18,53"
The Perfect Guy,"18,53"
Them who?,35
My All American,18
Revenge Porn,99
Soaked in Bleach,"10402,18,99,80"
Sanjay's Super Team,16
Italiano medio,35
Love at First Child,"10749,35"
We Accept Miracles,35
Dreamgirls,35
Tiger House,"28,80,18,53"
Un + une,"35,10749,18"
3-Headed Shark Attack,"878,28,27"
The Club,18
The Girl in the Book,18
Courted,"35,80,18,10749"
The People vs. Fritz Bauer,"36,18"
Walt Before Mickey,18
Poli opposti,"10749,35"
Barbie in Princess Power,16
The Clan,"18,36,80,53"
Comment c'est Loin,35
The Roommates Party,35
My Big Night,35
Il professor Cenerentolo,35
Belli di papà,35
Mutual Relations,10749
Cro Minion,"16,10751"
The New Kid,35
12 Rounds 3: Lockdown,"28,53,80"
Natale col boss,35
Bikini Avengers,35
Assassination,"28,18"
Zipper,"53,18"
I'll See You in My Dreams,"18,35"
Borrowed Time,"16,18,37"
Terminus,"878,53,14"
All Three of Us,"18,35"
Lego DC Comics Super Heroes: Justice League – Attack of the Legion of Doom!,"28,12,16,10751"
Drishyam,"80,18,53"
Ma che bella sorpresa,35
Ronaldo,"36,99"
The Eichmann Show,"18,36,10770"
Fire Twister,"53,28,12,878"
Ghost in the Shell: The New Movie,"878,16"
Batman Unlimited: Monster Mayhem,"28,16,10751"
"Robin des Bois, la véritable histoire","35,12"
Dior and I,99
Matrimonio al Sud,35
Aziz Ansari: Live at Madison Square Garden,35
Human,99
The Wolfpack,99
The Silenced,"27,53,9648"
Hellions,27
Virgin Mountain,18
He Named Me Malala,99
John Mulaney: The Comeback Kid,35
Broken Horses,"53,9648,18,80"
Game Therapy,"878,12"
Meu Passado Me Condena 2,"35,10749"
Pound of Flesh,28
Lake Placid vs. Anaconda,"28,27,10770"
The Boy,"18,27,53"
Empire of Lust,"10749,18,36"
The Hoarder,"53,27"
3 Türken und ein Baby,35
The Ardennes,18
The Lure,"27,14,10402"
Close Range,"28,80"
S.O.S.: Women to the Sea 2,"35,10749"
"People, Places, Things","10749,35,18"
Men & Chicken,"35,18"
Janis: Little Girl Blue,"99,10402"
Vai Que Cola - O Filme,35
The Case of Hana & Alice,"18,16,35"
Seashore,18
R.L. Stine's Monsterville: The Cabinet of Souls,"35,27"
Brotherly Love,18
Dil Dhadakne Do,"18,10751,10749,35"
"The Death of ""Superman Lives"": What Happened?",99
Cosmic Scrat-tastrophe,"878,35,16,10751,12"
Stung,"35,27"
Harbinger Down,"878,27"
Requiem for the American Dream,99
Prem Ratan Dhan Payo,"18,28,10749"
Soda : Le rêve américain,35
Ava's Possessions,"9648,53,27,878"
Anarchy Parlor,27
The Last Will Be the Last,"18,35"
Veteran,"28,35,80"
The Sand,"27,878"
Digging Up the Marrow,"53,9648,27,14"
Naked Among Wolves,"18,36,10752"
Twinsters,"10751,99"
Bloodsucking Bastards,"35,27"
Les Dissociés,35
Kid Kulafu,"99,18"
Comedy Central Roast of Justin Bieber,35
The Lady in the Car with Glasses and a Gun,"9648,53"
Attack on Titan: The Wings of Freedom,"28,14,16"
Stalked by My Neighbor,"80,53"
Uncanny,"18,878,53"
Mae Bia,"9648,18"
Fatima,18
Bleeding Heart,53
Tanna,"10749,18"
Até que a Sorte nos Separe 3 - A Falência Final,35
War Pigs,"10752,28"
Joe Dirt 2: Beautiful Loser,35
Nina Forever,"27,35,10749"
Hyena Road,"10752,18"
The Black Devil and the White Prince,"35,10749"
The Hunting Ground,99
The Treacherous,"18,36"
90 Minutes in Heaven,18
What We Become,"27,53"
Queen of Earth,"18,9648,53"
Bite,27
Der Nanny,35
Stonewall,18
Sense8: Creating the World,"99,878"
Some Kind of Hate,"27,14"
A Tale of Love and Darkness,18
Piku,"18,35"
Apocalypse Child,18
Fantastic Beasts and Where to Find Them,"12,10751,14"
Captain America: Civil War,"12,28,878"
Batman v Superman: Dawn of Justice,"28,12,14"
Deadpool,"28,12,35"
Zootopia,"16,12,10751,35"
X-Men: Apocalypse,"28,12,878,14"
Doctor Strange,"28,12,14,878"
Hacksaw Ridge,"18,36,10752"
Kung Fu Panda 3,"28,12,16,35,10751"
Your Name.,"10749,16,18"
La La Land,"35,18,10749"
Hidden Figures,"18,36"
Lion,18
Arrival,"53,18,878,9648"
The Purge: Election Year,"28,27,53"
Now You See Me 2,"28,35,53"
A United Kingdom,"18,36"
Suicide Squad,"28,12,80,14,878"
Things to Come,18
Star Trek Beyond,"28,12,878"
Ice Age: Collision Course,"12,16,10751,35"
Underworld: Blood Wars,"28,14,27,18"
Ghostbusters,"28,14,35"
Miss Peregrine's Home for Peculiar Children,"18,14,12,10751"
The Legend of Tarzan,"28,12"
Sing,"16,35,18,10751,10402"
The Jungle Book,"12,18,10751,14"
Allegiant,"12,878,28,9648"
Miss Sloane,"18,53"
Moonlight,18
The Huntsman: Winter's War,"28,12,18"
The Great Wall,"28,12,14"
Rogue One: A Star Wars Story,"28,12,878"
Jason Bourne,"28,53"
Passengers,"18,10749,878"
Sausage Party,"12,16,35,14"
Central Intelligence,"28,35,9648"
Hart Beat,"10751,35,18"
Boyka: Undisputed IV,"53,28,80"
Mechanic: Resurrection,"28,80,53"
Kubo and the Two Strings,"16,12,10751"
Me Before You,"18,10749"
Trolls,"12,10751,35,14,10402,16"
Alice Through the Looking Glass,"12,10751,14"
Warcraft,"28,12,14"
The Invisible Guest,"9648,80,53"
10 Cloverfield Lane,"53,878,18"
The Founder,"18,36"
Sister's Younger Husband,"35,18,10749"
Sully,"18,36"
Collateral Beauty,"18,10749"
Deepwater Horizon,"18,28"
Captain Fantastic,"12,35,18"
USS Indianapolis: Men of Courage,"28,10752"
The Magnificent Seven,"12,28,37"
Nocturnal Animals,"18,53"
Jack Reacher: Never Go Back,"28,53"
The BFG,"12,10751,14"
The Conjuring 2,"27,9648,53"
Assassin's Creed,"28,12,878"
Sex: A Relationship and Not Marriage,"10749,18"
Teenage Mutant Ninja Turtles: Out of the Shadows,"28,12,35,10751,878"
The Handmaiden,"53,18,10749"
The 5th Wave,"12,878"
Robby and Toby's Fantastic Voyager,"12,10751"
A Silent Voice,"18,16,10749"
The Edge of Seventeen,"35,18"
Pete's Dragon,"12,10751,14"
Inferno,"9648,53,18"
Young Mother: The Original,"18,10749"
Finding Dory,"12,16,35,10751"
Gods of Egypt,"28,12,14,878"
A Conspiracy of Faith,"80,18,9648,53"
Independence Day: Resurgence,"28,12,878"
Brimstone,"9648,53,37"
Neighbors 2: Sorority Rising,35
Allied,"28,18,10752,10749,53"
The Man Who Knew Infinity,18
13 Hours: The Secret Soldiers of Benghazi,"28,18,36,53,10752"
Billy Lynn's Long Halftime Walk,"18,10752"
The Girl on the Train,"80,18,9648,10749,53"
Raw,"18,27"
Snowden,"18,36,80,53"
The Angry Birds Movie,"16,12,35"
Nerve,"9648,12,80"
Anthropoid,"36,53,10752"
London Has Fallen,"28,53"
Hatred,"10752,18,36"
The Witch,"9648,27"
Train to Busan,"28,27,53"
Hell or High Water,"80,18,53,37"
A Cinderella Story: If the Shoe Fits,"35,10751,14,10402"
Idhu Namma Aalu,"35,10749"
Storks,"12,16,35,10751"
The Autopsy of Jane Doe,"27,9648"
"Hail, Caesar!","35,18,9648"
The Accountant,"80,53,18"
Colossal,"18,14,878"
The Shallows,"27,18,53"
Patriots Day,"80,18,53,28,36"
War Dogs,"35,80,18"
Never Back Down: No Surrender,"18,28"
The Neon Demon,"53,27,9648"
Silence,"18,36"
Triple 9,"28,53,9648"
Bad Moms,35
A Monster Calls,"18,14"
Ballerina,"16,12,35,10751"
The Boy,"27,53,9648"
Swiss Army Man,"35,18,10749,14,12"
Don't Breathe,"80,27,53"
The Eagle Huntress,"10751,99,12"
The Void,"9648,27,878"
Antiporno,18
A Cinderella Christmas,"10749,35"
Fences,18
"Crouching Tiger, Hidden Dragon: Sword of Destiny","28,12,18"
Dirty Grandpa,35
Mike and Dave Need Wedding Dates,35
Grimsby,"28,35"
Ocean Waves,"10749,16,18,10770"
The 9th Life of Louis Drax,"14,9648,53,18"
Keeping Up with the Joneses,"28,35"
Ben-Hur,"28,12,18"
Blood Father,"28,53,18"
Eddie the Eagle,"35,18,36,12"
The Last King,"28,12,18,36"
Emerald Green,"18,14,10749,12,878"
Kingsglaive: Final Fantasy XV,"28,16,878"
Lights Out,"53,9648,27"
Middle School: The Worst Years of My Life,"10751,35"
Manchester by the Sea,18
The Wailing,"27,9648,53"
Perfect Strangers,"35,18"
The Mountain II,"18,10752"
The Finest Hours,"28,18,36,53"
Masterminds,"28,35,80"
Jackie,18
Precious Cargo,"28,80,53"
Hunt for the Wilderpeople,"12,35,18"
Hush,"27,53"
Two Is a Family,"18,35"
Money Monster,"53,18"
Why Him?,35
The Boss,35
Mr. Right,"35,28,10749"
The Belko Experiment,"28,53"
Batman: The Killing Joke,"28,16,80,18"
Free State of Jones,"28,18,36,10752"
Blair Witch,"53,27"
Exposed,"18,80,53"
The Secret Scripture,18
Marauders,"28,80,53"
Big Fish & Begonia,"16,12,14"
Sherlock: The Abominable Bride,"80,18,9648"
The Girl with All the Gifts,"18,27,53,878"
Zoolander 2,35
Lady Macbeth,18
The Nice Guys,"35,80,9648"
I.T.,"80,18,53"
Genius,"18,36"
Live by Night,"80,18,53"
Monster Trucks,"28,35,878"
20th Century Women,18
Spectral,"53,28,878"
Bad Santa 2,"35,80,18,9648"
How to Be Single,"35,10749"
My Big Fat Greek Wedding 2,"10749,35,10751"
Office Christmas Party,35
Kill Command,"28,27,878"
Pride and Prejudice and Zombies,"10749,27,35,53"
Robinson Crusoe: The Wild Life,"12,16,35,10751"
Green Room,"27,80,53"
Popstar: Never Stop Never Stopping,"35,10402"
Full Speed,"10751,35"
Norm of the North,"12,16,35,10751"
Café Society,"35,18,10749"
Terrifier,"53,27"
High Strung,"18,10402,10749"
The Assignment,"28,80,53"
Elle,"18,53"
It's Only the End of the World,18
Criminal,"28,80,878,53,9648,18"
Gold,"12,18,53"
The Infiltrator,"80,18,53"
Dangal,"18,28"
Boy Missing,"9648,53"
Justice League vs. Teen Titans,"28,16"
One Piece Film: GOLD,"28,16,12,35"
Skiptrace,"28,35,53,9648"
The Monster,"18,27"
LEGO DC Comics Super Heroes: Justice League: Cosmic Clash,"28,12,16,35,10751"
Nine Lives,"14,35,10751"
Incarnate,"27,53"
Denial,"18,36"
Piper,"10751,16"
Flight Crew,"18,28"
Enter the Warriors Gate,"28,12"
Morgan,"27,878,53"
Bridget Jones's Baby,"35,10749"
Ice Age: The Great Egg-Scapade,"12,16,35,10751"
Alone in Berlin,"53,10752,18"
Ouija: Origin of Evil,"27,53"
The Light Between Oceans,"18,10749"
Tini: The New Life of Violetta,"35,18,10402"
Friend Request,"27,53"
Team Thor,"35,14,878"
Shut In,"18,53"
The Choice,"18,10749"
I Am Wrath,"28,80,18,53"
American Pastoral,"80,18"
Rules Don't Apply,"10749,35,18"
American Honey,18
Max Steel,"28,12,878"
The Promise,"36,10749,18"
Everybody Wants Some!!,35
I Am Not a Serial Killer,"27,53"
Keanu,"28,35"
Better Watch Out,"27,53"
Bastille Day,28
Operation Chromite,"36,18,10752,28"
They Call Me Jeeg,"28,18,35,53,878"
The Escort,"18,35,10749"
Gantz:O,"878,28,16"
A Street Cat Named Bob,"18,10751,35"
The Limehouse Golem,"27,9648,53"
Collide,"53,28"
Lea to the Rescue,"10751,12"
Julieta,"18,10749"
The Last Face,18
Rocco,99
Before the Flood,"99,10770"
Midnight Special,"12,18,878"
Mine,"53,10752"
Ride Along 2,"28,35"
Rock Dog,"12,16,35,10751,10402"
Cell,"27,878,53"
White Girl,18
Frantz,"36,18,10749"
Viral,"18,27,878"
ARQ,"878,53"
The Red Turtle,"16,18,14,10751"
The Secret Life of Pets,"12,35,16,10751"
The Fundamentals of Caring,"35,18"
Kevin Hart: What Now?,35
Fallen,"18,14,10749"
In This Corner of the World,"18,16"
Paterson,"35,18,10749"
Yoga Hosers,"35,14,27"
My Life as a Zucchini,"16,18,10751"
Loving,"10749,18"
Risen,"18,36"
Before I Wake,"18,14,27,53"
31,"27,53,9648"
War on Everyone,"28,35,9648"
Toni Erdmann,"35,18"
The Osiris Child,878
3 Generations,"35,18"
Queen of Katwe,18
The Good Neighbor,"18,80,53"
Sharknado 4: The 4th Awakens,"35,27,878"
Colonia,"53,18,10749,36,9648"
Florence Foster Jenkins,"35,18"
Sex Doll,"18,53,9648"
Come and Find Me,"18,53"
Pelé: Birth of a Legend,18
Divorce French Style 2,35
Kickboxer: Vengeance,"28,18"
The Siege of Jadotville,"10752,18,53"
Pokémon the Movie: Volcanion and the Mechanical Marvel,"12,16"
Wolves at the Door,"27,53"
The Veil,27
Shin Godzilla,"28,12,18,27,878"
Personal Shopper,"18,9648,53"
Miracles from Heaven,18
Race,"28,18"
Whiskey Tango Foxtrot,"10752,35"
When the Bough Breaks,"9648,18,27"
The Forest,"27,53,9648"
I Am a Hero,"28,878,14,27"
7 Minutes,18
Sing Street,"35,10749,18,10402"
The Innocents,"18,36"
The Do-Over,"28,12,35"
Elvis & Nixon,"18,35,36"
Rupture,"53,878"
Mythica: The Godslayer,"12,14,28"
Sam Was Here,"27,9648,53"
The Visitors: Bastille Day,35
The Whole Truth,"18,53"
Tamara,35
In a Valley of Violence,"80,53,37,28"
Almost Christmas,"35,18"
Mindhorn,35
Into the Forest,"18,878"
LEGO DC Comics Super Heroes: Justice League - Gotham City Breakout,"10751,12,16,28"
Imperium,"80,18,53,9648"
Neerja,"18,53"
Approaching the Unknown,"53,18,878"
Bleed for This,18
The Odyssey,"12,18"
The Disappointments Room,"18,27,53"
A Hologram for the King,"35,18"
13th,99
The Salesman,"18,53"
Fifty Shades of Black,"10749,35"
Paris Can Wait,"18,10749"
Pet,"27,53"
Che vuoi che sia,35
The Thinning,"53,18"
Holidays,"35,27"
Mr. Church,18
Honey 3: Dare to Dance,"18,10751,10402,10749"
Adventures in Babysitting,"10770,35"
Ratchet & Clank,"28,12,16,10751"
At the End of the Tunnel,"80,53"
Barbershop: The Next Cut,35
Chocolat,"35,18"
The Darkness,"27,53"
Descendants of Adultery,
Good Kids,35
The Age of Shadows,"28,18,53"
Urge,"53,9648"
The Midnight Man,27
The Other Side of the Door,"53,27"
Being 17,18
Batman: Bad Blood,"28,16,878"
Kung Fu Panda: Secrets of the Scroll,"12,28,16,10751,35"
God's Not Dead 2,18
Blue Jay,18
Blue Mountain State: The Rise of Thadland,35
Satanic,27
The Birth of a Nation,18
All Roads Lead to Rome,"35,10749"
Meet the Blacks,"35,27"
Special Correspondents,35
Slack Bay,35
Headshot,"28,53"
Manhattan Night,"18,9648,53"
The Beatles: Eight Days a Week - The Touring Years,"99,10402"
Hacker,"80,18,53"
A Kind of Murder,"18,53"
Kindergarten Cop 2,"28,35"
After the Storm,18
Closet Monster,18
Don't Hang Up,"27,53"
Hands of Stone,18
Within,"27,53"
Penny Pincher!,35
This Beautiful Fantastic,"35,18,14,10749"
Don't Think Twice,"35,18"
True Memoirs of an International Assassin,"35,28"
Almost Adults,"35,18,10749"
To Steal from a Thief,"80,53"
The Adderall Diaries,"28,18,53"
"I, Daniel Blake",18
Back to Mom's,35
Ares,"18,53,878"
No manches Frida,35
The Trust,"80,53,35,9648"
Up for Love,"35,10749"
Cabin Fever,27
Boo! A Madea Halloween,"35,27,18"
Five,35
XOXO,"10402,18"
The Meddler,"35,18"
Demolition,"35,18"
Maggie's Plan,"18,35,10749"
Italian Race,18
Indignation,18
Tallulah,18
A Dark Song,"18,27"
Last Call for Nowhere,35
Goat,18
Jeruzalem,27
Our Kind of Traitor,53
"Josephine, Pregnant & Fabulous",35
Beyond the Gates,"12,27"
Martyrs,"18,27,53,9648"
O.J.: Made in America,99
The Sea of Trees,18
The Correspondence,"10749,18"
Poveri ma ricchi,35
Crush in Jaipur,"10749,35"
Christine,18
Hairspray Live!,"10749,35,18,10770"
All the Way,"18,36,10770"
Mother's Day,"35,18"
Maximum Ride,"28,12,35,14,878,53"
The Lighthouse of the Orcas,"10749,18"
Max & Leon,"10752,35"
One Man and his Cow,"18,35"
Term Life,"53,80"
The Duel,"37,18"
Planetarium,"18,14,9648"
The Rocky Horror Picture Show: Let's Do the Time Warp Again,"10770,27,35,10402,53,878"
Misconduct,"18,53,9648"
The Neighbor,"80,27,53,9648"
Mower Minions,"35,16"
I Am the Pretty Thing That Lives in the House,"27,53"
The Late Bloomer,"35,18,10749"
The Childhood of a Leader,"18,27,9648"
The Outsider,"53,18"
The Crew,"18,80,53"
Intruders,"18,53,27"
Army of One,35
Divines,18
Quo vado?,35
Don't Blame the Kid,"35,10749"
Airlift,"28,18,36"
My Wife's Sister,"10749,10751,18"
Siren,27
Pandora,"53,18,28"
From the Land of the Moon,"18,10749"
Mythica: The Iron Crown,"28,12,14"
The ReZort,27
In Bed with Victoria,"35,18,10749"
House With A Nice View 3,"10749,18"
Compulsion,"53,27,14"
Man Down,"18,53,9648"
Standoff,"18,53"
Down by Love,"18,10749"
A Wish for Christmas,"18,10749,10770"
Hurricane Bianca,"35,18"
Hot Bot,"35,878"
May God Save Us,53
Take Down,"28,18,53"
Bilal: A New Breed of Hero,"28,12,16"
The Country Doctor,"18,35"
The Love Witch,"35,14,27,10749"
Sniper: Ghost Shooter,"28,18,10752"
Sultan,"18,28"
It Stains the Sands Red,"35,27,18"
"Kiki, Love to Love","35,10749"
The Red Thread,"18,10749"
Certain Women,18
Grease Live,"10770,10402"
Ma famille t'adore déjà,35
Smoke & Mirrors,"36,53"
Moana,"12,35,10751,16"
Dalida,"10402,18,10749"
An Almost Perfect Country,35
Hidden Kisses,18
The Fury of a Patient Man,53
Get a Job,35
Realive,878
The Bronze,"18,35"
Amateur Night,35
The Hollars,"35,18"
Aquarius,18
Lego Scooby-Doo!: Haunted Hollywood,"16,10751"
Toro,"18,80,53"
Diablo,"28,12,53,37"
The Greasy Strangler,"35,27,53"
Prostitution,"18,10749"
Dog Eat Dog,"18,80,53"
The Curse of Sleeping Beauty,"14,9648,53,27,878"
Lo and Behold: Reveries of the Connected World,99
The Family Fang,"35,18,9648"
Sacrifice,"53,80,9648"
Phantasm: Ravager,"878,14,27"
Roommates Wanted,35
Heal the Living,18
At War for Love,"10752,18,35"
The Tuche Family: The American Dream,35
Southside with You,"10749,18"
I've Always Liked You,"16,18,10749"
Detective Conan: The Darkest Nightmare,"12,9648,16"
Like Crazy,"18,35"
Brice 3,35
King Cobra,"80,18"
Love & Friendship,"35,18,10749"
Pandemic,"28,878,53"
Center of My World,"18,10751,10749"
Lemonade,10402
The Monkey King 2,"28,12,14"
Absolutely Fabulous: The Movie,35
Dad's Army,35
The Eyes of My Mother,"18,27"
Tramps,"35,10749"
Tickled,"99,9648,53"
Frank & Lola,"18,9648,10749"
Camping 3,35
Dead Rising: Endgame,"28,27"
Confirmation,"18,36,10770"
Emelie,"27,53"
Lavender,"18,53"
The Call Up,"12,28,878"
The Hollow Point,"28,18,53"
Brotherhood,"80,18"
Tell Me How I Die,"27,53"
1898: Our Last Men in the Philippines,"10752,18,36"
Tout schuss,35
Graduation,18
The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared,"12,35"
Slam,35
The Unknown Girl,"53,18,80"
Unleashing Mr. Darcy,"10749,10770,35"
The Anthem of the Heart,"14,16,18"
Rampage: President Down,"53,28,80"
The Mermaid,"35,14,10749"
Neruda,18
My Mom Is a Character 2,35
Looking: The Movie,"35,18,10749"
Teenage Cocktail,"18,53"
Ozzy,"16,10751"
Goodbye Berlin,"18,35"
Hard Target 2,"28,53"
The Comedian,35
My Scientology Movie,99
The Swap,"35,10770"
Welcome to the Hartmanns,"35,18"
Barry,18
"Good Guys Go to Heaven, Bad Guys Go to Pattaya",35
The Christmas Dinner,
Hounds of Love,"80,18,27"
Guernica,"18,10752,10749"
Bo Burnham: Make Happy,"10402,35"
Under the Shadow,"18,27,53,10752"
Fuga da Reuma Park,35
Ali Wong: Baby Cobra,35
Mafia: Survival Game,"28,878"
Tunnel,"18,28"
We Are Family,35
David Brent: Life on the Road,"35,10402"
Kizumonogatari Part 1: Tekketsu,"9648,16,14,27"
Lazer Team,"28,35,878"
The Dancer,18
Jarhead 3: The Siege,"28,18,10752"
In Her Name,"18,80"
Amis publics,35
Audrie & Daisy,99
Dear Zindagi,"18,10749"
Throne of Elves,"14,16,10751"
Pink,18
Summertime,"10749,18"
Erotic Sister,"10749,18"
Doctor Who: The Return Of Doctor Mysterio,"878,12,18,10751,10770"
Quel bravo ragazzo,35
The African Doctor,"18,35"
Miss Stevens,"35,18"
Complete Unknown,"18,9648,53"
100 Streets,18
Natale a Londra - Dio salvi la Regina,
I babysitter,
Wiener-Dog,"35,18"
The Student,18
Un Natale al Sud,35
Our Lovers,"10749,35,18"
Ae Dil Hai Mushkil,"18,10749"
Viking,"36,28,18"
In the Shadow of Iris,53
"My Tomorrow, Your Yesterday","10749,18"
They Look Like People,"18,27,9648"
Tiramisù,35
My Annoying Brother,"18,35"
100 Meters,"35,18"
The White Helmets,"99,10752"
Zero Days,99
The Intervention,"35,18"
The Most Beautiful Day,"35,18"
After Love,18
Amanda Knox,99
Natural Selection,18
Non si ruba a casa dei ladri,35
Fire at Sea,99
Fan,"28,18,53"
My Friend's Older Sister,10749
Nocturama,"18,53"
One Kiss,"10749,35"
L'abbiamo fatta grossa,"35,10751"
Four Against the Bank,"35,80"
Eliminators,28
Tower,"16,80,99"
Supersonic,"99,10402"
Operation Avalanche,53
7 Años,18
Feather,
For the Love of Spock,99
Barbie: Spy Squad,"28,16,10751"
Stronger Than The World: The Story of José Aldo,18
I'm Not Ashamed,18
Weiner,99
Little Men,18
Batman: Return of the Caped Crusaders,"28,16,12,80,878"
Non c'è più religione,35
A Stroke of Luck,"10749,18,35"
Heaven Will Wait,18
Mothers and Daughters,18
Joshy,"18,35"
Come diventare grandi nonostante i genitori,35
The Perfect Match,"35,10749"
Nemiche per la pelle,35
Operation Mekong,"28,12"
Back in the Day,18
Other People,18
I Saw the Light,"18,10402"
Bad Cat,"35,16,28"
The Abandoned,"53,27,9648"
The Guardian Brothers,"16,10751,14"
Love of My Life,"18,35"
Thor: Ragnarok,"28,12,35,14,878"
Guardians of the Galaxy Vol. 2,"28,12,35,878"
Spider-Man: Homecoming,"28,12,878,18"
Wonder Woman,"12,14,10752"
Justice League,"28,12,14,878"
Blade Runner 2049,"878,53"
